"Source:"	"/home/opieters/PhD/gloxinia/board/sylvatica/sylvatica.sch"
"Date:"	"Tue 16 Jul 2019 10:46:27 CEST"
"Tool:"	"Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1"
"Generator:"	"/home/opieters/PhD/gloxinia/board/bom-order.py"
"Component Count:"	"106"
"Ref"	"Qnty"	"Value"	"Cmp name"	"Ref. Mouser"	"Ref. Farnell"	"Price"
"C9, "	"1"	"1uF"	"C"	"77-VJ0603A102GXJPBC"	""	""
"C10, "	"1"	"0.01uF"	"C"	"77-VJ0603A102GXJPBC"	""	""
"C11, C35, C36, C39, "	"4"	"C"	"C"	""	""	""
"C12, "	"1"	"2.2uF"	"C"	"77-VJ0603A102GXJPBC"	""	""
"C16, C14, C21, C19, C15, C45, C23, C24, C32, C34, C33, C37, C38, C31, C1, C2, C4, C6, C5, C7, C8, C3, "	"22"	"0.1uF"	"C"	"710-885012206071"	""	""
"C17, "	"1"	"22uF"	"C"	"963-TMK316BBJ226ML-T"	""	""
"C18, "	"1"	"1uF"	"C"	"963-TMK325B7105KD-T"	""	""
"C20, C13, C42, C44, "	"4"	"10uF"	"C"	"963-TMK325BJ106KM-P"	""	""
"C22, "	"1"	"0.01uF"	"C"	"81-GRM033C81E103KE4E"	""	""
"C41, C40, C26, C25, C28, C27, C30, C29, "	"8"	"22nF"	"C"	"80-C0603C223K3R"	""	""
"C46, C47, "	"2"	"10pF"	"C"	"603-CC603FRNPO9BN100"	""	""
"D1, D2, "	"2"	"LED"	"LED"	"78-TLMS1000"	""	""
"H1, H3, H2, H4, "	"4"	"MountingHole"	"MountingHole"	""	""	""
"I0, I1, I2, I3, I4, I5, I6, I7, "	"8"	"AudioJack3"	"AudioJack3"	"490-SJ1-3533NG"	""	""
"J1, "	"1"	"GloxiniaConnector"	"GloxiniaConnector"	""	""	""
"J9, "	"1"	"Conn_01x06_Female"	"Conn_01x06_Female"	""	""	""
"J14, "	"1"	"Conn_02x02_Odd_Even"	"Conn_02x02_Odd_Even"	""	""	""
"JA0, JA1, "	"2"	"Conn_01x03_Female"	"Conn_01x03_Female"	""	""	""
"JP1, "	"1"	"Jumper"	"Jumper"	""	""	""
"Q2, Q1, "	"2"	"Q_NMOS_GSD"	"Q_NMOS_GSD"	"512-BSS138"	""	""
"R12, R14, "	"2"	"0.22R"	"R"	"667-ERJ-3RQFR22V"	""	""
"R13, "	"1"	"1k"	"R"	"652-CR0603-FX1001HLF"	""	""
"R15, R16, R9, R10, R19, "	"5"	"10k"	"R"	"284-APC0603B10K0N"	""	""
"R17, R18, "	"2"	"750"	"R"	"603-RC0603FR-07750RL"	""	""
"R34, R33, R2, R1, R4, R3, R6, R5, "	"8"	"20"	"R"	"71-CRCW060320R0FKEAC"	""	""
"R36, "	"1"	"270"	"R"	"603-RC0603FR-07270RL"	""	""
"R37, "	"1"	"1M"	"R"	"603-RC0603FR-101ML"	""	""
"SW1, "	"1"	"SW_Push"	"SW_Push"	"611-KMR621NGLFS"	""	""
"U5, U6, U8, U7, U1, U2, U4, U3, "	"8"	"PGA113"	"PGA113"	"595-PGA113AIDGSR"	""	""
"U9, "	"1"	"ADS8332"	"ADS8332"	"595-ADS8332IBPWR"	""	""
"U10, "	"1"	"dsPIC33EP512MC806"	"dsPIC33EP512MC806"	"579-33EP512MC806IPT"	""	"5"
"U11, "	"1"	"DG2034E"	"DG2034E"	"78-DG2034EDQ-T1-GE3"	""	""
"U12, "	"1"	"LP2985-5.0"	"LP2985-5.0"	""	""	""
"U13, "	"1"	"REF2033"	"REF2033"	"595-REF2033AIDDCR"	""	""
"U14, "	"1"	"OPA320"	"OPA320"	"595-OPA320AIDBVR"	""	""
"U15, U16, "	"2"	"SiP32431"	"SiP32431"	""	""	""
"Y1, "	"1"	"Crystal_GND24"	"Crystal_GND24"	"520-80-10-30B-CWNT"	""	""
"Total cost:"	"5.00"
